formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
8a01869291548667019154b29a9e23e1,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Jawa Timur,1,1,2785700,8345248
8a01869291548667019154bc7af32ed0,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Kalimantan Barat,1,1,2785700,8345248
8a01869291548667019154bced8c3015,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Sulawesi Tenggara,1,1,2785700,8345248
8a01869291548667019154c249fc3b85,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Kalimantan Selatan,1,1,2785700,8345248
8a01869291548667019154c4dd403f57,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Sulawesi Tengah,1,1,2785700,8345248
8a01869291548667019154c7e982444d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Kalimantan Tengah,1,1,2785700,8345248
8a01869291548667019154cfce4a54e1,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,1,2785700,8345248
8a01869291548667019154ddfcdb6f89,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Kalimantan Timur,1,1,2785700,8345248
8a01869291548667019154e197fa768d,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Sulawesi Barat,1,1,2785700,8345248
8a01869291548667019154e542a97d3c,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Perwakilan BKKBN Provinsi Kepulauan Bangka Belitung,1,1,2785700,8345248
d2948505-8cbf-4e52-9588-250292c97de7,Badan Siber dan Sandi Negara,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Badan Siber dan Sandi Negara | Wakil Kepala Badan Siber dan Sandi Negara | DEPUTI BIDANG KEAMANAN SIBER DAN SANDI PEMERINTAHAN DAN PEMBANGUNAN MANUSIA | DIREKTORAT KEAMANAN SIBER DAN SANDI PEMERINTAH DAERAH,2,0,2970700,7626650
f9ef8000-c581-4dbc-977c-189bdc0c3d60,Badan Siber dan Sandi Negara,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Badan Siber dan Sandi Negara | Wakil Kepala Badan Siber dan Sandi Negara | DEPUTI BIDANG OPERASI KEAMANAN SIBER DAN SANDI | DIREKTORAT OPERASI SANDI | Balai Deteksi Sinyal,1,0,2970700,7626650
8a03849f914ed85101914f47f6dd3bc1,Kejaksaan Agung,CPNS,UMUM,PEMERIKSA FORENSIK DIGITAL,Kejaksaan Agung,28,1,7515650,9305150
8a01869291548667019154f92c5921b2,Kejaksaan Agung,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,Kejaksaan Agung,5,1,8544850,10534350
8a01869291548667019154fa26ad2344,Kejaksaan Agung,CPNS,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,PRANATA KOMPUTER AHLI PERTAMA,Kejaksaan Agung,12,0,8544850,10534350
8a03849f914ed85101914f31655e11f8,Kejaksaan Agung,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kejaksaan Agung,483,1,8544850,10534350
8a01866591ab92dd0191ac4a2e05017c,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KATOLIK,4,1,2785700,6104700
8a01866591ab92dd0191ac4a8a8b0193,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBIJAKAN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KATOLIK,7,1,2785700,6104700
8a01866591ab92dd0191ac4ade5601b5,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,ANALIS KEBIJAKAN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KATOLIK,3,1,2785700,6104700
8a01866591ab92dd0191ac4cbddb01cc,Kementerian Agama,CPNS,LULUSAN TERBAIK,ANALIS KEBIJAKAN AHLI PERTAMA,INSPEKTORAT JENDERAL,1,1,2785700,6104700
8a028487919cdb310191a786c3721e19,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,STAIN MANDAILING NATAL,2,1,2785700,6104700
8a028487919cdb310191a788080c1e1f,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,UIN KIAI HAJI ACHMAD SIDDIQ JEMBER,4,1,2785700,6104700
8a028487919cdb310191a7891f0e1e5b,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,UIN SJECH M DJAMIL DJAMBEK BUKITTINGGI,4,1,2785700,6104700
8a028487919cdb310191a78a2da91e65,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,UIN SYEKH ALI HASAN AHMAD ADDARY PADANGSIDIMPUAN,4,1,2785700,6104700
8a028487919cdb310191a78b4ff71e80,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,IAKN KUPANG,4,1,2785700,6104700
8a028487919cdb310191ab613e8d311d,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,STAIN BENGKALIS,2,1,2785700,6104700
8a02849d91ab929d0191ac7e7f38074d,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,AUDITOR AHLI PERTAMA,BADAN PENYELENGGARA JAMINAN PRODUK HALAL,3,1,2785700,6104700
8a02849d91ab929d0191ac7f6f250798,Kementerian Agama,CPNS,LULUSAN TERBAIK,AUDITOR AHLI PERTAMA,BADAN PENYELENGGARA JAMINAN PRODUK HALAL,1,1,2785700,6104700
8a038450919cdb3c0191a66e45c3136e,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,IAIN AMBON,4,1,2785700,6104700
8a038450919cdb3c0191a759e3801d0d,Kementerian Agama,CPNS,UMUM,AUDITOR AHLI PERTAMA,IAIN MADURA,4,1,2785700,6104700
8a02849d91ab929d0191ac91f51c0d44,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI KALIMANTAN SELATAN,1,1,2785700,6104700
8a02849d91ab929d0191ac93461f0d88,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI KALIMANTAN TIMUR,1,1,2785700,6104700
8a038450919cdb3c0191a5a0e0161118,Kementerian Agama,CPNS,PUTRA/PUTRI KALIMANTAN,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",2,1,2785700,6104700
8a038450919cdb3c0191a5a236bf111d,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU,1,1,2785700,6104700
8a038450919cdb3c0191a6a5097d15fd,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT BUDDHA,2,1,2785700,6104700
8a038450919cdb3c0191a6a624101602,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI KALIMANTAN TIMUR,16,1,2785700,6104700
8a038450919cdb3c0191a6b40ae416d6,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,DIREKTORAT JENDERAL PENDIDIKAN ISLAM,2,1,2785700,6104700
8a038450919cdb3c0191a6b5790b16e2,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI TENGGARA,5,1,2785700,6104700
8a038450919cdb3c0191a75f1e8a1d48,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU,2,1,2785700,6104700
8a038450919cdb3c0191a76168db1d58,Kementerian Agama,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,3,1,2785700,6104700
8a028487919cdb310191a7de25012109,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,IAIN CURUP,2,1,2785700,6104700
8a028487919cdb310191a7e003e8210f,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT HINDU,10,1,2785700,6104700
8a028487919cdb310191a7e14aaf211b,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN MAKASSAR,2,1,2785700,6104700
8a028487919cdb310191a7e4e0bf2125,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"BADAN PENELITIAN DAN PENGEMBANGAN, DAN PENDIDIKAN DAN PELATIHAN",8,1,2785700,6104700
8a028487919cdb310191a92ef8182c5a,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN AMBON,2,1,2785700,6104700
8a028487919cdb310191a92f978c2c62,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN PAPUA,2,1,2785700,6104700
8a028487919cdb310191a93055a72c6d,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,DIREKTORAT JENDERAL PENYELENGGARAAN HAJI DAN UMRAH,4,1,2785700,6104700
8a028487919cdb310191a986f6dd2d54,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,IAIN SYEKH NURJATI CIREBON,18,1,2785700,6104700
8a028487919cdb310191ab07fc942e3e,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI KEPULAUAN RIAU,8,1,2785700,6104700
8a028487919cdb310191ab09820a2e74,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI SELATAN,30,1,2785700,6104700
8a038450919cdb3c0191a6ebcea41949,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,IAIN SULTAN AMAI GORONTALO,5,1,2785700,6104700
8a038450919cdb3c0191a6ed47b81950,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,IAIN LHOKSEUMAWE,2,1,2785700,6104700
8a038450919cdb3c0191a6ee40121953,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,IAHN TAMPUNG PENYANG PALANGKARAYA,1,1,2785700,6104700
8a038450919cdb3c0191a6ef2ef21955,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN SEMARANG,2,1,2785700,6104700
8a038450919cdb3c0191a6f0b6601957,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,BALAI PENDIDIKAN DAN PELATIHAN KEAGAMAAN BANJARMASIN,4,1,2785700,6104700
8a038450919cdb3c0191a6f176541959,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN SUNAN AMPEL SURABAYA,2,1,2785700,6104700
8a038450919cdb3c0191a6f25eb9195b,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN RADEN INTAN LAMPUNG,5,1,2785700,6104700
8a038450919cdb3c0191a6f42da41968,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,UIN AR-RANIRY BANDA ACEH,8,1,2785700,6104700
8a038450919cdb3c0191a6f541421971,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,STAIN BENGKALIS,3,1,2785700,6104700
8a038450919cdb3c0191a6f6e65b197e,Kementerian Agama,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI UTARA,8,1,2785700,6104700
e92dea22-fe8d-42f6-aacd-755a9e59cd2b,Kementerian Dalam Negeri,CPNS,UMUM,AUDITOR AHLI PERTAMA,KEMENTERIAN DALAM NEGERI | INSPEKTORAT JENDERAL | INSPEKTORAT I,1,1,9000000,16000000
33838860-ded4-4952-8634-8382f1ae510a,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,"KEMENTERIAN DALAM NEGERI | SEKRETARIAT JENDERAL | SEKRETARIAT DEWAN KEHORMATAN PENYELENGGARA PEMILU | BAGIAN HUBUNGAN MASYARAKAT, DATA DAN TEKNOLOGI INFORMASI",1,1,8000000,15000000
4c5988c6-9f74-4be2-a72a-975f0f6ab47d,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,"KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM | DIREKTORAT BINA IDEOLOGI, KARAKTER DAN WAWASAN KEBANGSAAN",1,1,9000000,16000000
8b5b525a-17a1-47a8-ac98-828b81dd14c4,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM | DIREKTORAT KETAHANAN EKONOMI SOSIAL DAN BUDAYA,1,1,9000000,16000000
ab31985d-f9a7-403b-ab2b-4163607c8292,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM | DIREKTORAT POLITIK DALAM NEGERI,1,1,9000000,16000000
acbe661a-4cd1-4dc2-b742-588309137d84,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN DALAM NEGERI | BADAN PENGEMBANGAN SUMBER DAYA MANUSIA | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA REGIONAL MAKASSAR | BAGIAN TATA USAHA | SUBBAGIAN RUMAH TANGGA DAN SARANA PRASARANA,1,1,9000000,16000000
e027af73-4d79-450c-8c3f-b25bb213daa6,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM | DIREKTORAT ORGANISASI KEMASYARAKATAN,1,1,9000000,16000000
e904b78e-5bc0-4a47-9f86-457e3e2b66c5,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM | DIREKTORAT KEWASPADAAN NASIONAL,1,1,9000000,16000000
f5a610d4-754c-49b9-ac17-170c0613dac9,Kementerian Dalam Negeri,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL BINA ADMINISTRASI KEWILAYAHAN | SEKRETARIAT DIREKTORAT JENDERAL BINA ADMINISTRASI KEWILAYAHAN | BAGIAN UMUM | SUBBAGIAN ORGANISASI DAN KEPEGAWAIAN,1,1,8000000,15000000
8a0384c7915b4c4c01915deaaf8a11cf,Kementerian Dalam Negeri,CPNS,PUTRA/PUTRI KALIMANTAN,PERENCANA AHLI PERTAMA,KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL BINA KEUANGAN DAERAH | SEKRETARIAT DIREKTORAT JENDERAL BINA KEUANGAN DAERAH | BAGIAN PERENCANAAN,1,1,9000000,16000000
11caaff0-c93d-41e7-aa2a-d371a376f088,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Sekretariat Direktorat Jenderal Pencegahan dan Pengendalian Penyakit,2,1,5000000,8000000
2088c118-a4b6-4ec3-8cf1-bfabea21f86e,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Direktorat Surveilans dan Kekarantinaan Kesehatan | Subbagian Administrasi Umum,2,1,6000000,8000000
229c9aef-d681-44fb-bffb-6165481c57ad,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas II Palu,1,1,5000000,7000000
28eb2d89-def6-430c-8759-c2a0d7fdc8ea,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Tenaga Kesehatan | Poltekkes Kemenkes Manado | Kepala Unit Teknologi Informasi,1,1,6000000,9000000
42f84d90-3bb6-4fb1-9e4c-b270a625f738,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Tenaga Kesehatan | Direktorat Penyediaan Tenaga Kesehatan | Subbagian Administrasi Umum,1,1,5000000,7000000
430e769a-b411-4511-b7e5-cd26ec3c71fd,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Fatmawati Jakarta | Direktorat Layanan Operasional | Instalasi Sistem Informasi Manajemen Rumah Sakit,2,1,6000000,7000000
43374962-c4a7-4c7a-8578-a8e9ae807a3e,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Johannes Leimena Ambon | Direktorat Perencanaan, Keuangan, dan Layanan Operasional | Instalasi Sistem Informasi Manajemen Rumah Sakit",4,1,5000000,7000000
4357ecfd-9a5c-460e-9db8-ffec116b682d,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Tenaga Kesehatan | Poltekkes Kemenkes Surabaya | Unit Teknologi Informasi,1,1,5000000,7000000
49b42df8-c527-4859-a8cb-302978fe30fe,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Wahidin Sudirohusodo Makassar | Direktorat Layanan Operasional | Instalasi Sistem Informasi Manajemen Rumah Sakit,2,1,5000000,7000000
4ade5642-700e-4e62-84b0-f2ade293c691,Kementerian Kesehatan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Tenaga Kesehatan | Balai Besar Pelatihan Kesehatan Jakarta,1,1,7000000,10000000
e2493c0c-7928-4a5f-aedc-182b446d1a3c,Kementerian Ketenagakerjaan,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Sekretariat Badan Nasional Sertifikasi Profesi | Bagian Umum,2,0,6000000,7500000
ed8c32eb-66d6-4894-b420-e3c0f4fbdef2,Kementerian Ketenagakerjaan,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Sidoarjo | Subbagian Umum,2,0,6000000,7500000
f5852905-a0d9-49c8-bc15-28f0874739cd,Kementerian Ketenagakerjaan,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Samarinda | Subbagian Umum,2,0,6000000,7500000
fd3f89b1-b532-4160-a662-d53492622a07,Kementerian Ketenagakerjaan,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Sorong | Subbagian Umum,2,0,6000000,7500000
fee9f4b9-a30d-46ee-afa8-a2bb20e57515,Kementerian Ketenagakerjaan,CPNS,UMUM,PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Besar Pelatihan Vokasi dan Produktivitas Semarang | Bagian Umum,1,0,6000000,7500000
130ebd29-f6a8-4a0c-bfa0-326272c3bbcb,Kementerian Ketenagakerjaan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Banda Aceh,2,0,7000000,8500000
196bc643-800d-4db0-8afa-e6d2df8d859c,Kementerian Ketenagakerjaan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Ketenagakerjaan | Sekretariat Jenderal | Pusat Pasar Kerja,4,0,7000000,8500000
533ec1d7-a44e-4b9e-838a-14250c679ed0,Kementerian Ketenagakerjaan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja | Direktorat Bina Sistem Pengawasan Ketenagakerjaan,1,0,7000000,8500000
570ff433-ca98-4a85-a0e4-b1207a23bbf6,Kementerian Ketenagakerjaan,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Sekretariat Badan Nasional Sertifikasi Profesi,2,0,7000000,8500000
